10年間	0000802100-005
boast	0000099100	0000512207	0000099103
about	0000030109
bar	0000077105	0000098210	0000810109
brat	0000143112
bass	0000256206
stab	0000065108
tab	0000092107
batty	0000687107
acquiescence	0000047111
circumstance	0001026104
accredited	0000758107
accustomed to doing sth	0001205105
accustomed to doing 	0001205105
didactic	0000337109
have confidence in sth	0001172110
have confidence in 	0001172110
adolescence	0000144106
neck and neck	0000160111
accomplished	0000491413
unaccustomed to sth	0000740306
accustomed to sth	0001205105
uncomplicated	0000332107
complicated	0000180104
undemocratic	0000940106
accident	0000005100	0000686106	0000005103
unaccustomed to 	0000740306
accustomed to 	0001205105
idiosyncratic	0001194108
contradiction	0000189104
contradictory	0000565105
contradict	0000190105	0000270104
accord	0000201105	0000485108
certificate	0000131100	0000131103
screw your face up	0001149107
screw face up	0001149107
pluck up the courage	0000243109
schoolteacher	0001124106
conceptualize	0000552110
excommunicate	0000385210
acquiesce	0000025109
convalesce	0000905108
spectacle	0000801108
expectancy	0000531105
significance	0000554104	0000705105
excruciating	0000780108
pluck up courage	0000243109
put sth into practice	0000044107
chemical	0000702105
come across sth	0000429205
chance	0000243111	0000686104	0000764104	0000828105	0000964205
panic-stricken	0000541109
social security	0000027108
put into practice	0000044107
wisecrack	0000624109
commercial	0000018106	0000334105	0001091205
economical	0000138110	0001011308
sceptical	0001108104
circulate	0000442107	0000871109
communicate	0000203105	0001118106
concentration	0000066106
preoccupation	0000749104
practice	0000173109	0000504104	0001160104	0001164105	0001203105	0001245108
ecstatic	0000382104
commonplace	0000479108
cancel	0000002104	0000121100	0000121103
conceal	0000521104
conceptual	0000594110
come across 	0000429205
come across	0000993108
accessory	0000255104
accept	0000025104	0000482205	0000497104	0000657104	0001115404
scarce	0000982100	0000982103
accrue	0000165109
access	0000004100	0000004103
accuse	0000006100	0000006103
account for sth	0000396205
account for 	0000396205
psychological	0000594105
coaching	0000336112
hypocritical	0000312105
accomplish	0000007107
catch on	0001185109
coach	0001163105
catch up	0000482308
scratch	0000583107	0000986100	0000986103
catch	0000114210	0000298108	0000429206	0000515107	0000677110	0000992105	0001092107	0001115306
complication	0000854109
critical	0000229100	0000366106	0001000107	0000229103
communication	0000172100	0000658112	0000172103
councilwoman	0000757106
councilman	0000757106
cynical	0001108105
circular	0000650107
crucial	0000366105
classic	0000343107	0000378107	0001179107
on occasion 	0001045108
on occasion s	0001045108
occupation	0000860111	0001245107
occasion	0000370205	0000764108	0001150106
conspiracy	0000196100	0000196103
narcotic	0000329105
scarcity	0000638109
tactic	0001114100	0001114103
crack up	0000644106
crack	0000078106	0000078206	0000105104
compact	0001033108
occupant	0001129104
contract	0000201100	0000349107	0001015105	0001092108	0000201103
contact	0000172104	0000790106	0000920109
account	0000092104	0000471105	0000936205
caucus	0000707110
dedicated	0000924105
decade	0000802105
deceased	0000246105
detached	0000570108
dedicate	0000287104
uneducated	0000546106
educated	0000581104
addictive	0000011100	0000011103
redundancy	0001190104
candid	0000530112
discard	0000931107
addict	0000410112
get yourself cleaned up	0001229108
turn States evidence	0001127207
acknowledgement	0000039106
get cleaned up	0001229108
underachiever	0000679208
decrease	0000406107	0000907106	0000908109
far-fetched	0001195205
disenfranchise	0001101109
unchallenged	0001188104
acknowledge	0000015104	0000040107
merchandise	0000017107	0000855106
detachment	0001125107
inconsiderate	0000586109
credentials	0000131107
delicate	0000455104	0000998207
recommendation	0000354104	0000864104
predicament	0000710206
decimate	0000281107
considerate	0000634108
audience	0000068100	0000606105	0000700104	0000068103
directorate	0000694108
adolescent	0000484108	0001256107
declare	0000253100	0000253103
second-rate	0000825212
anecdote	0001079107
decorate	0000254100	0000254103
educate	0001123104	0001163107
disgraceful	0000776105
confidential	0000990105
classified	0000990109
two-faced	0000312109
pedagogic	0000337108
hiding place	0000910107
discharge	0000432110	0001190108
guidance	0000019106
discourage	0000306100	0000306200	0000306203	0000306103
disgrace	0000310100	0000310103
hand in your notice	0000653308
hand in notice	0000653308
sophisticated	0001046100	0001046103
methodical	0000340108
comradeship	0000465112
hindrance	0000750110
scale sth down	0000239110
unscathed	0000976109
detach	0001187107
indiscriminate	0000887105
identical	0000361105
medication	0000329206
denunciation	0000230107
consideration	0000195100	0000400105	0000195103
discretionary	0001224105
indicate	0000253105	0001013106	0001093105
consolidate	0000166106
displace	0000391109
duplicate	0000207208	0000208106
condemnation	0000230106
documentation	0000131104
comedian	0000010107
condensation	0000720106
coordinate	0000701207
decoration	0000255100	0000255103
education	0000336100	0000336103
distance	0000318208
syndicate	0000499308
practised	0000393106
drive crazy	0000034107
dictate	0000284107	0000883109	0000972209
advice	0000019100	0000019103
packed	0000469104
scale down	0000239110
dry-clean	0000154109
cradle	0000534106
commandment	0000971108
crammed	0000469105
mass-produce	0000696107
decamp	0000490107
ascend	0000158108
protracted	0000675106
educator	0001124105
scared	0000022106
crusade	0000119109
cadet	0000906106
officialdom	0000069108
modification	0000132208
confidant	0000463110
discouraging	0000302106
watchdog	0000588106
discriminating	0001014108
homicidal	0001220108
dictatorship	0000939104
dispatch	0000996108
track sth down	0000429406
hard copy	0000207107
acid	0000096108
discrimination	0000307100	0000307103
discriminatory	0000091106
indication	0001019104
disclaim	0000270107
coordination	0000814108
indicator	0001019107
sadistic	0000233107
stick around	0001070107
yardstick	0000228111
diplomacy	0001113106
cordial	0000464204
placid	0000118109
dynamic	0000356106	0001215104
sardonic	0000614107
sporadic	0000752105
dictator	0000288100	0000288103
acrid	0000096106
drastic	0001000109
track down	0000429406
command	0000202109	0000771107	0000973210
coward	0000221100	0000221103
perseverance	0000283109
free of charge	0000459204
elegance	0001088104
vengeance	0000956106
percentage	0001004110
leave in the lurch	0000301107
lose patience	0000680108
equivalence	0001023106
masterpiece	0001245206
replacement	0000381104	0000935100	0000935103
repentance	0000502107
recuperate	0000905106
evacuee	0000911110
ineffectual	0000572107
affluence	0000721308
fiancee	0000790208
clean yourself up	0001229108
sales force	0001059107
peaceful	0000881104
performance	0000801100	0000801103
preface	0000608104
change sth over	0001110104
give the sack	0000432111
get the sack	0000432111
challenge	0000322105	0000854106
challenger	0000787105
change over	0001110104
exchange	0000127104	0000308112	0000381100	0000934206	0000381103
nerve-racking	0001082108
categorize	0000153106
wreckage	0000928106
colleague	0000790104
conglomerate	0000499305
encourage	0000351100	0000351103
have in stitches	0000644110
once in a while	0001045109
in the clear	0000585105
theoretical	0000594104	0001100109
impeachment	0000134106
theres no comparison	0001023111
achieve	0000007100	0001090106	0000007103
shoelace	0000114212
the upper class	0000345108
human resources	0001059108
enhance	0000559104
orchestrate	0000773110
treacherous	0000242108
archetype	0000377210
research	0000610106	0000943100	0000943103
cheater	0000139103
teacher	0001124100	0001124103
the case	0001026108
intercontinental	0000603108
raise your voice	0001012109
raise voice	0001012109
take no notice	0000547107
mutually exclusive	0000565107
intellectual	0000594100	0000594200	0000594103	0000594203
miscellaneous	0000316107
surveillance	0000587108
intolerance	0000307108
exceptional	0000929108	0001050104
stereotypical	0001179109
speculative	0001100108
commiserate	0001048106
cross-examine	0000879107
expectation	0000390100	0000531208	0000390103
recreation	0000359105
conservative	0000193100	0000193103
auctioneer	0000977106
apprentice	0000906105
patience	0000793100	0000793103
increase	0000566100	0000567100	0000963105	0000567103	0000566103
resistance	0000768105
cooperative	0000171109	0000499309	0000519104
resuscitate	0000236105
creative	0000224100	0000224103
contemplate	0000194109	0000677111
tolerance	0000793104
cleanse	0000154106
enclave	0001134105
correlate	0000701106
relocate	0000653207
replace	0000934100	0000934200	0000954207	0000934103	0000934203
speculate	0000981305
careless	0000124100	0000124103
menace	0001144107
announcement	0001068105
entrance	0000004106	0000054108	0000265107
expectant	0000769108
newscaster	0000843109
necessary	0000574104	0000734100	0000734103
cooperate	0000518106
peace	0000797100	0001021104	0000797103
escape	0000365100	0000365103
career	0000661204	0001245105
secretary	0000757110
terrace	0000965110
create	0000129109	0000691105
cease	0001078105
liaison officer	0000739109
affection	0000683205
affect	0000021100	0000557109	0000021103
magnificent	0000688100	0000688104
graceful	0000343106
place of worship	0000148112
half-price	0000138111
franchise	0000659104
facilities	0000398100	0000398103
facsimile	0000207207
superficial	0000041107
fiance	0000790209
finance	0000428100	0000472105	0000721107	0000428102
task force	0000170111
full-scale	0000282112
out of place	0001198108
careful	0000282105
fluctuate	0000133206
care for 	0000678105	0000684109
forecast	0000390104	0000837104
farce	0000815108
fracture	0000105105
challenging	0000293105
encouraging	0000863104
short-change	0000260109
not come to anything	0000402211
teaching	0000336106	0001214104
change	0000127106	0000132100	0000132200	0000133100	0000133200	0000721205	0000934205	0001175206	0001232108	0000133203	0000133103	0000132203	0000132103
get sth across	0000203109
charge	0000006104	0000064206	0000134100	0000135100	0000383106	0000892104	0000950105	0000973109	0000135103	0000134103
egotistical	0000994106
congenital	0000731108
apologetic	0001047108
ignorance	0000545100	0000545103
come along	0000167106	0000285110
glance	0000676104
Congresswoman	0000824106
Congressman	0000824106
agency	0001001104
courageous	0000104104
get across	0000203109
category	0000128100	0000128103
courage	0000219100	0000219103
grace	0000947109	0001088107
ache	0000540205	0000779105
hypothetical	0001100105
search sth out	0000429407
enthusiastic	0000330104
unethical	0001255308
hysterical	0000541100	0000541104
ethical	0000491504	0000723104
mechanism	0001231208
unsympathetic	0000586104
impeach	0000006107
sympathetic	0000998104
authentic	0000896107	0000924208
pathetic	0000975106	0001191206
archive	0000320106
melancholy	0000498108	0001192107
clean sth up	0001147104
chapel	0000148108
clear sth up	0001147105
merchant	0000247107
enchant	0000265109
the contrary	0000766104
poacher	0001140109
reproach	0000985111
search out	0000429407
cheap	0000138100	0000825205	0000138104
purchaser	0000238107
carve sth up	0001005107
purchase	0000115105
reach	0000007106	0000117208	0000482304	0000888206
charter	0000646107	0000659107	0000771207
search	0000677204	0000989100	0000989103
chatter	0000308111
watcher	0000032107
chase	0000445104
teach	0001123100	0001163104	0001123103
cheat	0000139100	0000140100	0000139102	0000140103
recrimination	0000134107
specialism	0000049213
civil servant	0000757109
specialist	0000395104
realistic	0000829106	0000897100	0000897103
intricate	0000180106
creativity	0000589104
majestic	0000688109
nickname	0000117111
complimentary	0000459205	0000491608
contemplation	0000195109
policewoman	0000822110
policeman	0000822100	0000822103
miracle	0000715100	0000715103
climate	0000049110	0000061104
unconventional	0001199106
conventional	0000193104	0001161104
correlation	0000919106
speculation	0001051100	0001051103
unequivocal	0000812207
coastline	0000163106
replica	0000207205
particle	0000094107
peculiar	0001080110	0001194106
special	0001050100	0001194104	0001050103
specialty	0000049210
article	0000056100	0000056103
lucrative	0001091206
literacy	0000637105
elastic	0000437205
commemoration	0000093105
compensation	0000175100	0000175103
importance	0000554100	0000554103
unsystematic	0000887108
systematic	0000340104
conversation	0000308104
uncertainty	0000321105	0000321205
uncertain	0001182104	0001197105
incessant	0000200110
instance	0000377105
ancient	0000761104
cooperation	0000517108
incorporate	0000562106
evocation	0000275110
precaution	0000836100	0000836103
creation	0000286105
cessation	0000352110
certain	0000130100	0000788104	0001102107	0000130103
certainty	0000404107
tenacity	0000283108
ostracize	0000385208
practise	0000319110	0000833100	0001246108	0000833103
acquire	0000115106	0000482105	0000652106
active	0000009100	0000113104	0000356105	0000009102
cajole	0000808109
take stock	0000376109
tackle	0000363109
racket	0000457206
lace	0000114212
collapse	0000402205	0000403104
recall	0000708106	0000930104
clean	0000154100	0000155100	0000154103	0000155103
translucent	0000157305
clean up	0001147104	0001229108
central	0000689106
reluctant	0000926100	0000926103
unclear	0001182100	0001182103
larceny	0001138110
